Cod_Categoria,Categoria,Squad
8413,MEDIA,ROPA INTERIOR
8414,BOLS MANO-CARTERA,MUJER / HOMBRE / CALZADO
8415,NI?A - ROPA CASUA,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
8416,QUESO,HORA DEL TÉ I 
8417,PAN  - GONDOL,DULCE MOMENTO
8418,REVISTAS Y PERI?DICO,ABSTEMIOS IMPULSIVOS
8420,PILA,ABSTEMIOS IMPULSIVOS
8421,PESCADERIA-OTRO,CONGELADOS
8422,PESCADERIA-PESCAD,CONGELADOS
8423,TELEFONO & COMUNICACIONE,5G
8424,YOGUR,LÁCTEOS
8425,MANTEQUILLA-MANTEC,LÁCTEOS
8426,CREMA,LÁCTEOS
8427,POSTRE,LÁCTEOS
8428,ENTRADA-PREPAR&CON,PLATOS PREPARADOS
8429,HELADOS Y POSTRES CONGELADO,CONGELADOS
8430,COMIDA COMPLETA-PREP-CONGE,PLATOS PREPARADOS
8431,PREFOR & CORTES FRIO,CONGELADOS
8432,VERDURAS CONGELADA,CONGELADOS
8433,PANAD-COCINA-MEZCLA,INDESPENSABLES Y MASCOTAS
8434,LEGUMBRE,INDESPENSABLES Y MASCOTAS
8435,BEBIDAS - CAF,DULCE MOMENTO
8436,BEBIDAS - T,DULCE MOMENTO
8438,CHIPS-CRIPS-MEZCLA SNACK,ABSTEMIOS IMPULSIVOS
8439,GALLETAS - GONDOL,DULCE MOMENTO
8441,GALLETAS - SALADA-SALVI,ABSTEMIOS IMPULSIVOS
8442,POSTRE-CUBIERTA LLENADO BAS,INDESPENSABLES Y MASCOTAS
8444,HARIN,INDESPENSABLES Y MASCOTAS
8445,ABARROTES - FRUTAS SECA,ABSTEMIOS IMPULSIVOS
8446,FRUTAS - GONDOL,LÁCTEOS
8447,LECHE-CREMA-SUBSTITUTO,LÁCTEOS
8448,DULCE & PRESERVANTE,INDESPENSABLES Y MASCOTAS
8449,PAST,INDESPENSABLES Y MASCOTAS
8450,ARRO,INDESPENSABLES Y MASCOTAS
8451,SALSAS Y MARINADO,INDESPENSABLES Y MASCOTAS
8452,ABARROTES - MARISCOS - PESCAD,INDESPENSABLES Y MASCOTAS
8453,ABARROTES - MARISCOS - MARISCO,INDESPENSABLES Y MASCOTAS
8454,ADEREZO-ESPECIA-HIERBA-EXTRACT,INDESPENSABLES Y MASCOTAS
8455,SEMILLA,ABSTEMIOS IMPULSIVOS
8456,PUR,INDESPENSABLES Y MASCOTAS
8457,SOPAS -  GONDOL,INDESPENSABLES Y MASCOTAS
8458,AZUCAR - SUSTITUT,INDESPENSABLES Y MASCOTAS
8459,DIETA Y SALU,INDESPENSABLES Y MASCOTAS
8460,VERDURAS - GONDOL,INDESPENSABLES Y MASCOTAS
8461,VINAGRES- SUCEDANEO,INDESPENSABLES Y MASCOTAS
8462,CARNE VACUNO - FRESC,PROTEINAS 
8463,AVES DE CORRAL - FRESC,PROTEINAS 
8464,CARNES - OTRO,PROTEINAS 
8467,BEBIDAS - GA,ABSTEMIOS IMPULSIVOS
8468,BEBIDAS DILUIBLE,ABSTEMIOS IMPULSIVOS
8469,BEBIDAS - HIDRATACI?N - ENERG?,ABSTEMIOS IMPULSIVOS
8470,BEBIDAS - JUGO,ABSTEMIOS IMPULSIVOS
8471,BEBIDAS - AGU,ABSTEMIOS IMPULSIVOS
8475,VIN,LA BOTI DE CHILE
8477,ALMUERZO DE CARNE - CECINA,HORA DEL TÉ I 
8478,ALMUERZO DE CARNE - QUESO,LÁCTEOS
8479,HUEVO,HORA DEL TÉ I 
8480,MASA,PLATOS PREPARADOS
8481,TARTAS-PAST-EN LOCA,HORA DEL TÉ II
8482,PAN - EN LOCA,HORA DEL TÉ II
8483,TORTAS - EN LOCA,HORA DEL TÉ II
12652,PREESCOLA,DEPORTE JUGUETES
12653,INFANTI,DEPORTE JUGUETES
12654,MUNECAS BEB,DEPORTE JUGUETES
12655,MINI MUNECA,DEPORTE JUGUETES
10767,ACTIVACION CAJA,5G
12862,WEARABLE,5G
12865,MATERIA PRIMA WAY,TUTIFRUTI
10832,PRODUCTOS INDUSTRIALE,HOME E-MACHINE
10860,POLA,MUJER / HOMBRE / CALZADO
8821,CUIDADO PIE,BELLEZA Y CUIDADO FAMILIAR
10915,DULC,INDESPENSABLES Y MASCOTAS
10921,QUESO FRESC,LÁCTEOS
10922,CV,ALLOWANCE/CVP 
10923,CV,ALLOWANCE/CVP 
10924,CV,ALLOWANCE/CVP 
10925,CV,ALLOWANCE/CVP 
10926,CV,ALLOWANCE/CVP 
10928,CV,ALLOWANCE/CVP 
10929,CV,ALLOWANCE/CVP 
10930,CV,ALLOWANCE/CVP 
10943,CV,ALLOWANCE/CVP 
8899,MATERNIDAD-GRANDES - SWEATER,MUJER / HOMBRE / CALZADO
10950,TRANSFERENCIA DE DINER,5G
10955,CV,ALLOWANCE/CVP 
10956,CV,ALLOWANCE/CVP 
10957,CV,INDESPENSABLES Y MASCOTAS
10959,CV,ALLOWANCE/CVP 
10960,CV,ALLOWANCE/CVP 
10961,CV,ALLOWANCE/CVP 
10962,CV,ALLOWANCE/CVP 
10963,CV,ALLOWANCE/CVP 
10964,CV,ALLOWANCE/CVP 
10965,FRUTAS ,PLATOS PREPARADOS
10966,FRUTAS ,TUTIFRUTI
10968,VERDURAS ,VERDULEROS
10969,VERDURAS ,VERDULEROS
8928,ALMACENAMIENT,5G
8930,VIDEO,5G
10991,CERVEZAS SIN ALCOHO,ABSTEMIOS IMPULSIVOS
10992,CELEBRACIONES - ANO NUEV,ARTE Y CELEBRACION
8957,PIZZ,PLATOS PREPARADOS
8968,JUEGOS DE MESA Y PUZZLE,DEPORTE JUGUETES
8969,MUNECAS FASHION Y ACCESORIO,DEPORTE JUGUETES
8971,TRAJE DE BAN,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
8972,CABALLERO - CHAQUETA SPOR,MUJER / HOMBRE / CALZADO
8973,ACCESORIO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
8985,DORMITORI,MAESTROS DEL HOGAR
8986,MOCHILAS-BOLSO,MAESTROS DEL HOGAR
8987,DECOR HOGAR - MURALL,MAESTROS DEL HOGAR
8988,TOALLAS PLAY,HOGAR / TEXTIL HOGAR
8991,CAMA ACCESORIO,MAESTROS DEL HOGAR
8992,CAMA SABANA,MAESTROS DEL HOGAR
9010,ROLE PLA,DEPORTE JUGUETES
9014,CUADERNO,ARTE Y CELEBRACION
9015,AUTOMOTRIZ - HERRAMIENTAS - PODER & ACCES,FERRE/ AUTO / JARDIN
9016,ELECTRICO,FERRE/ AUTO / JARDIN
9017,ILUMINACION - PORTABL,FERRE/ AUTO / JARDIN
9018,BUZONES - SIGNOS - NUMERO,FERRE/ AUTO / JARDIN
9019,FONTANERI,FERRE/ AUTO / JARDIN
9020,ALMACENAMIENTO - ORGANIZACIO,FERRE/ AUTO / JARDIN
9021,HERRAMIENTAS - MAN,FERRE/ AUTO / JARDIN
11064,VERDURAS ,VERDULEROS
9023,VENTILACIO,FERRE/ AUTO / JARDIN
9024,CERDO - FRESC,PROTEINAS 
9025,COMIDA PREPARAD,PLATOS PREPARADOS
9027,VITAMINA,BELLEZA Y CUIDADO FAMILIAR
9028,EQUIP MEDICO Y ACCESO,BELLEZA Y CUIDADO FAMILIAR
9029,CUIDADO OJO,BELLEZA Y CUIDADO FAMILIAR
9032,CUIDADO LABIO,BELLEZA Y CUIDADO FAMILIAR
11098,CANASTAS FIESTA,INDESPENSABLES Y MASCOTAS
11111,ACCESORIO,MUJER / HOMBRE / CALZADO
11114,VENTILACIO,HOME E-MACHINE
11115,CALEFACCIO,HOME E-MACHINE
9080,FLORAL - ACCESORIO,MAESTROS DEL HOGAR
9081,DECOR HOGAR - ESPACIO,MAESTROS DEL HOGAR
9084,CECINA,PROTEINAS 
9113,CAMA COLCHAS-PLUMONE,MAESTROS DEL HOGAR
9116,CABALLERO - DENI,MUJER / HOMBRE / CALZADO
11168,MALETAS Y BOLSO,DEPORTE JUGUETES
11169,TERRAZ,MAESTROS DEL HOGAR
11171,MOCHILAS -LONCHERAS Y ESTUCHE,ARTE Y CELEBRACION
9126,SPECIALT,ROPA INTERIOR
9143,CHECKOUTS - BEBIDAS - JUGO,ABSTEMIOS IMPULSIVOS
9144,CHECKOUTS - BEBIDAS - AGU,ABSTEMIOS IMPULSIVOS
11200,ACCESORIOS BEB,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11204,ZAPATO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11205,PIJAMA,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11206,TRAJE DE BAN,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11207,ROPA INTERIO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11208,ACTIVIDADES Y ESTIMULACIO,DEPORTE JUGUETES
11210,MUEBLES PARA BEB,DEPORTE JUGUETES
11211,SEGURIDAD DEL BEB,DEPORTE JUGUETES
11212,VIAJES BEB,DEPORTE JUGUETES
11213,PUERICULTUR,DEPORTE JUGUETES
11214,RENT A CA,FERRE/ AUTO / JARDIN
9167,ALIMENTOS INTERNACIONALE,INDESPENSABLES Y MASCOTAS
 ,TERRAZA Y PLAY,FERRE/ AUTO / JARDIN
9180,MASCOTAS - CUIDADO - HIGIEN,INDESPENSABLES Y MASCOTAS
11258,LANZADORE,DEPORTE JUGUETES
11259,MANUALIDADES Y CIENCI,DEPORTE JUGUETES
11271,LINEA INFANTI,BELLEZA Y CUIDADO FAMILIAR
11297,ROPA DORMIR HOMBR,ROPA INTERIOR
11298,ROPA DORMIR NIN,ROPA INTERIOR
9251,BA?O & SP,BELLEZA Y CUIDADO FAMILIAR
9252,ORAL  - ACCESORIO,BELLEZA Y CUIDADO FAMILIAR
9253,JABO,BELLEZA Y CUIDADO FAMILIAR
11301,INTERIOR HOMBR,ROPA INTERIOR
9255,PASTA,BELLEZA Y CUIDADO FAMILIAR
9256,AMBIENTADOR & DESODORANT,SIEMPRE LIMPIOS
9257,BLANQUEAMIENT,SIEMPRE LIMPIOS
9258,LIMPIADORES - PIS,SIEMPRE LIMPIOS
9259,DETERGENTE,SIEMPRE LIMPIOS
9260,CUIDADO TELA,SIEMPRE LIMPIOS
9261,SUAVIZANTE,SIEMPRE LIMPIOS
9262,PLAGUICIDA,SIEMPRE LIMPIOS
9263,OTC - INCONTINENCIA ADULT,BELLEZA Y CUIDADO FAMILIAR
11310,BOLSAS MULTIUS,ARTE Y CELEBRACION
9265,PLANIFICACION FAMILIA,BELLEZA Y CUIDADO FAMILIAR
9266,COSMETICOS - BA?O & SP,BELLEZA Y CUIDADO FAMILIAR
9267,CUIDADO CORPORA,BELLEZA Y CUIDADO FAMILIAR
11311,BOTTOMS MUJE,ROPA INTERIOR
9269,CUIDADO FACIA,BELLEZA Y CUIDADO FAMILIAR
11309,CALCETINES NIN,ROPA INTERIOR
9273,CUIDADO SOLA,BELLEZA Y CUIDADO FAMILIAR
9276,DEPOSITOS DE BOTELL,ABSTEMIOS IMPULSIVOS
9290,RECIPIENTES LIMPIEZ,HOGAR / TEXTIL HOGAR
9308,OJO,BELLEZA Y CUIDADO FAMILIAR
9311,U?A,BELLEZA Y CUIDADO FAMILIAR
9315,COCIN,MAESTROS DEL HOGAR
9317,EQUIPAJ,MAESTROS DEL HOGAR
9324,FRUTAS CONGELADA,CONGELADOS
9330,MESA,MAESTROS DEL HOGAR
9338,NI?O,MAESTROS DEL HOGAR
9342,OFICIN,MAESTROS DEL HOGAR
9362,DRESSIN,INDESPENSABLES Y MASCOTAS
9363,ACEITE,INDESPENSABLES Y MASCOTAS
9365,CERVEZ,LA BOTI DE CHILE
9366,LICORE,LA BOTI DE CHILE
9367,MEZCLA,LA BOTI DE CHILE
9369,DESAYUNO-CEREAL-BARR,DULCE MOMENTO
9370,CABALLERO - ACCESORIO,MUJER / HOMBRE / CALZADO
9371,CALCETIN HOMBR,MUJER / HOMBRE / CALZADO
9372,COMEDO,MAESTROS DEL HOGAR
9373,CABALLERO - CASUAL JUVENI,MUJER / HOMBRE / CALZADO
9374,CABALLERO - CASUAL SPOR,MUJER / HOMBRE / CALZADO
9375,CABALLERO - CHAQUETA JUVENI,MUJER / HOMBRE / CALZADO
9376,CABALLERO - POLERA JUVENI,MUJER / HOMBRE / CALZADO
9377,CABALLERO - ROPA DEPORTIV,MUJER / HOMBRE / CALZADO
9378,ROPA INTERIOR HOMBR,MUJER / HOMBRE / CALZADO
9380,CABALLERO - SWEATER JUVENI,MUJER / HOMBRE / CALZADO
9381,CABALLERO - SWEATER SPOR,MUJER / HOMBRE / CALZADO
9382,CABALLERO - VESTI,MUJER / HOMBRE / CALZADO
9383,ACCESORIO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9384,NI?O - CALCETINE,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9386,OUTWEA,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9387,BOTTO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9388,POLERONES Y SWEATER,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9389,TO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9393,TRAJE DE BAN,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9394,UNIF ESCOLARE,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9412,ARTESANIA - PAPE,ARTE Y CELEBRACION
9413,COLAS PEGAMENTOS & SELLANTE,ARTE Y CELEBRACION
9414,LIBRERIA - MAQUINA OFICIN,ARTE Y CELEBRACION
9415,PLANIFICADORES & CALENDARIO,ARTE Y CELEBRACION
9416,AUDIO - SUMINISTROS VIDE,5G
9417,ACCESORIOS Y TECNOLOGI,5G
9418,COMPUTADORES - HARDWAR,5G
9419,COMPUTADORES - IMPRESOR,5G
9420,COMPUTADORES - SOFTWAR,5G
9421,EQUIPOS DE AUDI,ELECTROLAB
9422,INSTRUMENTOS MUSICALE,ELECTROLAB
9423,SMART HOM,ELECTROLAB
9424,ELECTRONICA - MAQUINA OFICIN,5G
9425,MUSICA,5G
9426,TELEVISORE,ELECTROLAB
9427,VIDEO JUEGOS - HARDWARE & AC,ELECTROLAB
9429,FLORES ARTIFICIALE,MAESTROS DEL HOGAR
9430,DECOR HOGAR - RELOJE,MAESTROS DEL HOGAR
9431,ALFOMBRA,HOGAR / TEXTIL HOGAR
9432,TOALLAS BA?,HOGAR / TEXTIL HOGAR
9433,CAMARAS - FOT,ELECTROLAB
9439,OFICINA & SUMINISTRO COLEGI,ARTE Y CELEBRACION
9445,CORTINAS BA?,HOGAR / TEXTIL HOGAR
9446,CORTINAS CAS,HOGAR / TEXTIL HOGAR
9456,CAMA CUBRE COLCHO,MAESTROS DEL HOGAR
9457,CAMA FRAZADA,MAESTROS DEL HOGAR
9458,SET CAM,MAESTROS DEL HOGAR
9459,SUMINISTRO FIESTA,ARTE Y CELEBRACION
9465,CALZADO NI?,MUJER / HOMBRE / CALZADO
9469,LIBRO,ARTE Y CELEBRACION
9470,PAPEL DE REGAL,ARTE Y CELEBRACION
9471,SET DE REGAL,ARTE Y CELEBRACION
9472,TARJETAS DE FELICITACIONE,ARTE Y CELEBRACION
9473,DAMA - CALCETINE,ROPA INTERIOR
9487,JARDIN FLORE,VERDURAS 
9488,JARDIN-MACET & PLANTA,VERDURAS 
9490,ROPA DORMI,ROPA INTERIOR
9491,ROPA IN- BOTTOM,ROPA INTERIOR
9492,DULC,INDESPENSABLES Y MASCOTAS
9493,ENCURTIDO,ABSTEMIOS IMPULSIVOS
9494,PESCADERIA-MARISC,CONGELADOS
9495,BUFANDA,MUJER / HOMBRE / CALZADO
9496,CINTURO,MUJER / HOMBRE / CALZADO
9497,FLORAL - FRESC,VERDURAS 
9499,GUANT,MUJER / HOMBRE / CALZADO
11549,WIPE,SIEMPRE LIMPIOS
11550,COSMETICO,BELLEZA Y CUIDADO FAMILIAR
9501,IMPERMEABLE,MUJER / HOMBRE / CALZADO
9502,ROPA INT - TOP,ROPA INTERIOR
9505,SOMBRERO,MUJER / HOMBRE / CALZADO
9506,JOYAS - RELOJE,MUJER / HOMBRE / CALZADO
9507,JOYERIA-BISUTERI,MUJER / HOMBRE / CALZADO
9508,JOYERIA-REGALO,MUJER / HOMBRE / CALZADO
9509,LENTES SOL-LENTES LEC,MUJER / HOMBRE / CALZADO
9510,ESPIRITUOSO,LA BOTI DE CHILE
9504,SOSTENE,ROPA INTERIOR
9512,ALMUERZO DE CARNE - ENCURTIDO,ABSTEMIOS IMPULSIVOS
9513,JUGO,ABSTEMIOS IMPULSIVOS
9517,GALLETAS - EN LOCA,HORA DEL TÉ II
9519,ACCESORIOS AUTOMOVI,FERRE/ AUTO / JARDIN
9520,ACCESORIOS INTERIOR AUTOMOVI,FERRE/ AUTO / JARDIN
9521,SERVICIO INGRESO,5G
9522,ACEITE MOTOR & LUBRICANTE,FERRE/ AUTO / JARDIN
9523,AUTOMOTRIZ - AMBIENTADOR & DESODORANT,FERRE/ AUTO / JARDIN
9524,APARIENCIA AUTOMOVI,FERRE/ AUTO / JARDIN
9525,FLUIDO AUTOMOVIL & QUIMICO,FERRE/ AUTO / JARDIN
9526,PARTES AUTOMOVI,FERRE/ AUTO / JARDIN
9527,CUIDADO PERSONAL - APLICACION,HOME E-MACHINE
9528,PROTECCION EX,FERRE/ AUTO / JARDIN
9529,ASPIRADO Y LIMPIEZ,HOME E-MACHINE
9530,PEQUE?OS ELECTRODOMESTICO,HOME E-MACHINE
9531,ELECTRODOMESTICOS - GRANDE,HOME E-MACHINE
9532,MAQUINAS DE COSE,HOME E-MACHINE
9533,ART ADHESIVO,FERRE/ AUTO / JARDIN
9534,CALEFACCIO,FERRE/ AUTO / JARDIN
9535,APARATOS DE CUIDADO PERSONA,ABSTEMIOS IMPULSIVOS
9536,VELA,FERRE/ AUTO / JARDIN
9537,CHECKOUTS - BEBIDAS - HIDRATACI?N&ENERG?,ABSTEMIOS IMPULSIVOS
9538,CERRADURAS & SEGURIDA,FERRE/ AUTO / JARDIN
9539,CHECKOUTS - BEBIDAS - GA,ABSTEMIOS IMPULSIVOS
9540,SUJETADORE,FERRE/ AUTO / JARDIN
9543,HERRAMIENTAS - PODER & ACCES,FERRE/ AUTO / JARDIN
9544,HERRAMIENTAS - TRABAJO ROP,FERRE/ AUTO / JARDIN
9545,CANDY - CAJA,ABSTEMIOS IMPULSIVOS
9546,ILUMINACIO,FERRE/ AUTO / JARDIN
9547,CHECKOUTS - COLAS PEGAMENTOS & SELLANTE,ABSTEMIOS IMPULSIVOS
9548,INCENDIO - SEGURIDAD HOGA,FERRE/ AUTO / JARDIN
9549,AMPOLLETA,FERRE/ AUTO / JARDIN
9550,COMO VISTO EN T,ABSTEMIOS IMPULSIVOS
9551,PUERTA & VENTANA HARDWAR,FERRE/ AUTO / JARDIN
9552,SUMINISTRO PODER & CONVERTIDO,FERRE/ AUTO / JARDIN
9553,CHECKOUTS - HELADOS Y POSTRES CONGELADO,ABSTEMIOS IMPULSIVOS
9554,TRATAMIENTO AGU,FERRE/ AUTO / JARDIN
9556,ACONDICIONAMIENTO INVIERN,FERRE/ AUTO / JARDIN
9557,CHECKOUTS - OFICINA & SUMINISTRO COLEGI,ABSTEMIOS IMPULSIVOS
9558,APLICADORES Y ACCESORIO,FERRE/ AUTO / JARDIN
9559,ESCALAS & TABURETE,FERRE/ AUTO / JARDIN
9560,PAPEL MURALLA & ACCESORIO,FERRE/ AUTO / JARDIN
9561,PINTURA - EXTERIO,FERRE/ AUTO / JARDIN
9562,PINTURA - INTERIO,FERRE/ AUTO / JARDIN
9563,CAMARAS - VIDE,5G
9564,CHECKOUTS - SET DE REGAL,ABSTEMIOS IMPULSIVOS
9565,SNACKS - CAJA,ABSTEMIOS IMPULSIVOS
9566,FOTO ACCESORIO,5G
9567,SOUVENIR & RECUERDO,ABSTEMIOS IMPULSIVOS
9570,JARDIN - FERTILIZANTE & ALIME,FERRE/ AUTO / JARDIN
9571,CONSTRUCCION Y BLOQUE,DEPORTE JUGUETES
9572,JARDIN - HERRAMIENTAS MANUALE,FERRE/ AUTO / JARDIN
9575,JARDIN DISEN,FERRE/ AUTO / JARDIN
9576,MACETERO,FERRE/ AUTO / JARDIN
9578,BICICLETAS & ACCESORIO,DEPORTE JUGUETES
9579,INSTRUMENTOS MUSICALE,DEPORTE JUGUETES
9580,CAMPING & EXCURSIONE,DEPORTE JUGUETES
9581,RODADO,DEPORTE JUGUETES
9584,DEPORTES - ACUATICO & PESC,DEPORTE JUGUETES
9585,PISCIN,FERRE/ AUTO / JARDIN
9586,TERRAZA Y PLAY,FERRE/ AUTO / JARDIN
9587,DEPORTES - AEROBICOS & FITNES,DEPORTE JUGUETES
9588,GP,5G
9589,DEPORTES - AGU,DEPORTE JUGUETES
9590,TELEFONO MOVIL - OTRO,5G
9591,PREEFECTIV,5G
9592,DEPORTES - BALONE,DEPORTE JUGUETES
9593,DEPORTES - BAT & CLUB & MAZ,DEPORTE JUGUETES
9594,DEPORTES - COMBAT,DEPORTE JUGUETES
9595,DEPORTES - INVIERN,DEPORTE JUGUETES
9596,DEPORTES - RAQUET,DEPORTE JUGUETES
9597,CELEBRACIONES - EVENTOS GLOBA,ARTE Y CELEBRACION
9598,CELEBRACIONES - HALLOWEE,ARTE Y CELEBRACION
9599,CELEBRACIONES - SAN VALENTI,ARTE Y CELEBRACION
9600,DEPORTES - SKAT,DEPORTE JUGUETES
9601,JUEGOS MESA - INDOO,DEPORTE JUGUETES
9602,PISCINA & JUEGOS AGU,DEPORTE JUGUETES
9603,PINTURAS - COLAS PEGAMENTOS & SELLANTE,FERRE/ AUTO / JARDIN
9605,CADENA CABLE & CUERDA,FERRE/ AUTO / JARDIN
9611,JUEGOS AZA,5G
9616,SANDW-PIZZA,PLATOS PREPARADOS
9621,UNIF ESCOLARE,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9623,ROPA INTERIOR NI?,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9626,OUTWEA,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9627,BOTTO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9628,NI?A - MEDIA,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9629,POLERONES Y SWEATER,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9630,TO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9633,VESTIDO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9634,DAMA - CASUA,MUJER / HOMBRE / CALZADO
9636,DAMA - JUVENIL CASUA,MUJER / HOMBRE / CALZADO
9640,DAMA - ROPA DEPORTIV,MUJER / HOMBRE / CALZADO
9650,COCKTAI,LA BOTI DE CHILE
11759,COMO VISTO EN T,FERRE/ AUTO / JARDIN
11299,ROPA DORMIR NIN,ROPA INTERIOR
11300,CALCETINES ESCOLA,ROPA INTERIOR
9756,CONSIGNADO AFECT,ELECTROLAB
